id,name,age,salary,department,join_date
1,Person_1,75,55740.20176441977,HR,2020-01-01
2,Person_2,59,76853.1944060954,Sales,2020-01-02
3,Person_3,38,59202.84944310476,Sales,2020-01-03
4,Person_4,60,48395.705445982596,Finance,2020-01-04
5,Person_5,57,28085.893063212938,Finance,2020-01-05
6,Person_6,77,79647.87294523143,Sales,2020-01-06
7,Person_7,39,41636.40202649981,HR,2020-01-07
8,Person_8,70,39623.34065478409,IT,2020-01-08
9,Person_9,68,52259.983986563304,Sales,2020-01-09
10,Person_10,28,15048.202497990002,IT,2020-01-10
11,Person_11,36,65262.998193595486,IT,2020-01-11
12,Person_12,60,52534.40114419005,HR,2020-01-12
13,Person_13,71,51358.80320913057,Finance,2020-01-13
14,Person_14,28,31968.761441169776,IT,2020-01-14
15,Person_15,31,41680.52210861457,IT,2020-01-15
16,Person_16,40,52936.64827253625,Sales,2020-01-16
17,Person_17,29,72956.35782047796,IT,2020-01-17
18,Person_18,79,57018.13896821145,IT,2020-01-18
19,Person_19,50,47255.48389050513,Finance,2020-01-19
20,Person_20,55,36818.319361573216,Sales,2020-01-20
21,Person_21,18,53378.65191477619,HR,2020-01-21
22,Person_22,27,65154.77968512321,Sales,2020-01-22
23,Person_23,19,45902.51010560702,Sales,2020-01-23
24,Person_24,56,55622.012799778444,Sales,2020-01-24
25,Person_25,21,33701.7309951214,IT,2020-01-25
26,Person_26,38,60236.35688722602,HR,2020-01-26
27,Person_27,76,47547.76471088215,IT,2020-01-27
28,Person_28,32,42805.32477873541,HR,2020-01-28
29,Person_29,61,29124.091933725067,IT,2020-01-29
30,Person_30,26,56329.76213114308,Sales,2020-01-30
31,Person_31,30,63719.43008479025,IT,2020-01-31
32,Person_32,36,47133.239223379656,HR,2020-02-01
33,Person_33,56,42213.41868270139,IT,2020-02-02
34,Person_34,22,56320.3370695403,Sales,2020-02-03
35,Person_35,60,48035.90756257703,Finance,2020-02-04
36,Person_36,40,33164.31248064512,Finance,2020-02-05
37,Person_37,62,23946.034262524663,HR,2020-02-06
38,Person_38,63,77314.83945015738,HR,2020-02-07
39,Person_39,76,32575.631948470727,IT,2020-02-08
40,Person_40,56,70127.78454557527,Sales,2020-02-09
41,Person_41,58,38003.03554178549,IT,2020-02-10
42,Person_42,52,55212.18874421044,Finance,2020-02-11
43,Person_43,58,47411.27371503796,Finance,2020-02-12
44,Person_44,29,33971.89703791421,IT,2020-02-13
45,Person_45,68,56450.11134058513,Finance,2020-02-14
46,Person_46,27,50073.86723190637,Finance,2020-02-15
47,Person_47,53,71339.28517053126,Finance,2020-02-16
48,Person_48,23,55100.03295716109,Finance,2020-02-17
49,Person_49,26,54107.23096308636,IT,2020-02-18
50,Person_50,60,38837.56970797741,IT,2020-02-19
51,Person_51,71,63940.16857425818,IT,2020-02-20
52,Person_52,38,71271.55276498538,HR,2020-02-21
53,Person_53,20,57569.15806315481,IT,2020-02-22
54,Person_54,39,50517.06297335353,IT,2020-02-23
55,Person_55,59,40499.15390584296,Sales,2020-02-24
56,Person_56,65,39317.908627668774,Sales,2020-02-25
57,Person_57,47,78498.03677900706,IT,2020-02-26
58,Person_58,42,67207.23134852598,HR,2020-02-27
59,Person_59,62,55298.962682831894,Finance,2020-02-28
60,Person_60,33,58588.10242222369,Finance,2020-02-29
61,Person_61,76,31477.3097391091,Sales,2020-03-01
62,Person_62,72,57191.61058753836,Finance,2020-03-02
63,Person_63,73,47182.29926573434,IT,2020-03-03
64,Person_64,79,33449.0266135517,HR,2020-03-04
65,Person_65,50,77903.26217193999,HR,2020-03-05
66,Person_66,66,68427.13247426388,HR,2020-03-06
67,Person_67,53,50141.797896899,IT,2020-03-07
68,Person_68,55,55986.200503394146,HR,2020-03-08
69,Person_69,34,53566.85051328551,Sales,2020-03-09
70,Person_70,70,58602.11714657847,IT,2020-03-10
71,Person_71,21,36645.3030017127,Finance,2020-03-11
72,Person_72,67,60753.64011975655,Sales,2020-03-12
73,Person_73,27,63574.5109660962,HR,2020-03-13
74,Person_74,29,40467.86986011026,Sales,2020-03-14
75,Person_75,77,77284.78143837306,HR,2020-03-15
76,Person_76,20,52517.30725772709,Finance,2020-03-16
77,Person_77,58,33635.901364281744,Sales,2020-03-17
78,Person_78,50,34349.20729902359,Sales,2020-03-18
79,Person_79,65,89934.24202620158,HR,2020-03-19
80,Person_80,36,72670.05759645299,Sales,2020-03-20
81,Person_81,75,52714.789044595724,IT,2020-03-21
82,Person_82,57,42122.28102760857,HR,2020-03-22
83,Person_83,57,40376.459691371805,Finance,2020-03-23
84,Person_84,70,66136.3769044796,IT,2020-03-24
85,Person_85,58,16608.96677334517,Finance,2020-03-25
86,Person_86,48,51641.767946820226,IT,2020-03-26
87,Person_87,49,30392.328973609274,Sales,2020-03-27
88,Person_88,55,44337.72672282983,Sales,2020-03-28
89,Person_89,21,42964.38146895472,IT,2020-03-29
90,Person_90,28,36732.67530442966,IT,2020-03-30
91,Person_91,39,46949.37402790228,HR,2020-03-31
92,Person_92,71,72901.4905028443,Sales,2020-04-01
93,Person_93,51,35481.07322554648,IT,2020-04-02
94,Person_94,23,32348.68315211346,IT,2020-04-03
95,Person_95,75,59826.40328708562,Sales,2020-04-04
96,Person_96,39,29942.763464024032,IT,2020-04-05
97,Person_97,23,40247.21548287734,IT,2020-04-06
98,Person_98,28,37925.07771667411,Sales,2020-04-07
99,Person_99,47,57118.80637680461,Finance,2020-04-08
100,Person_100,42,44618.47792899722,IT,2020-04-09
